Query_ID, CPU, RAM, DISK, DURATION
0, 124.875, -16.230, 361.610, 139.316
1, 102.797, 24.363, 278.728, 136.815
2, 3.359, -243.520, 1958.484, 8.381
3, 4.188, -5.195, 719.150, 4.741
4, 4.656, 27.082, 1769.682, 12.078
5,2.875, 2.336, 0.952, 1.008
6,2.281, 44.938, 43.311, 1.397
7, 1.672, 21.004, 1969.172, 8.903
8, 0.078, -4.016, 21.605, 0.112
9, 6.406, 47.062, 2010.573, 12.285
10, 0.734, 5.051, 124.350, 1.222
11, 3.422, -1.059, 206.551, 2.483
12, 1.750, 16.699, 20.859, 1.017
13, 3.000, 7.574, 136.469, 2.015
14, 5.797, 15.855, 4.082, 2.439
15, 0.922, 0.723, 132.688, 1.513